PF Rating,Team,Pos,Player,Prop,L10 Avg,L10 Diff,L5 Avg,L5 Diff,Odds,Streak,Matchup,2023,2024,H2H,L5,L10,L20,L30
37.5,CLE,SF,Isaac Okoro,o9.5 PR,8.5,"'-1",7.6,"'-1.9","'-114",1,20,47/68,15/39,5/5,1/5,4/10,8/20,12/30
43.3,CHA,C,Mark Williams,o13.5 RA,12.1,"'-1.4",13.4,"'-0.1","'-105",1,23,5/19,12/32,0/2,3/5,4/10,11/20,12/30
32.2,SA,SG,Stephon Castle,o4.5 Ast,3.7,"'-0.8",4,"'-0.5","'-107",0,2,0/0,24/63,0/1,2/5,4/10,7/20,10/30
34.7,PHI,C,Guerschon Yabusele,o2.5 Ast,1.9,"'-0.6",2.2,"'-0.3","'-105",1,21,0/0,22/60,1/2,3/5,4/10,9/20,14/30
58.2,HOU,PF,Dillon Brooks,o2.5 3PTM,2.9,0.4,3,0.5,"'+155",0,12,19/72,23/62,3/10,2/5,4/10,9/20,11/30
48.6,DEN,PF,Aaron Gordon,o0.5 Steals,0.5,0,0.6,0.1,"'-125",0,25,39/72,14/38,7/17,2/5,4/10,7/20,9/30
64.6,UTAH,SG,Collin Sexton,o4.5 Ast,5,0.5,5.8,1.3,"'-135",2,22,45/78,19/51,2/5,2/5,4/10,10/20,16/30
32.4,PHI,C,Andre Drummond,o10.5 RA,9.9,"'-0.6",10,"'-0.5","'-120",0,21,27/79,14/40,4/11,2/5,4/10,6/20,8/30
37.7,LAC,PF,Kawhi Leonard,o3.5 Ast,3.2,"'-0.3",2.8,"'-0.7","'+124",0,26,31/68,8/23,3/5,1/5,4/10,8/20,9/30
48.3,DAL,PG,Dante Exum,o1.5 3PTM,1.3,"'-0.2",1.6,0.1,"'+190",3,26,13/55,6/17,2/4,3/5,4/10,7/20,7/30
49.8,IND,SF,Aaron Nesmith,o0.5 Blocks,0.6,0.1,0.6,0.1,"'+110",0,5,34/72,10/29,1/8,2/5,4/10,8/20,10/30
35.5,PHI,PF,Justin Edwards,o5.5 RA,4.3,"'-1.2",4.8,"'-0.7","'+120",0,21,0/0,11/32,0/1,3/5,4/10,9/20,11/30
49,ATL,SF,Vit Krejci,o0.5 Blocks,0.5,0,0.6,0.1,"'+210",0,14,5/21,14/41,1/2,2/5,4/10,7/20,11/30
34.6,HOU,F,Tari Eason,o8.5 RA,8.4,"'-0.1",9.4,0.9,"'-135",2,2,10/22,15/44,1/7,3/5,4/10,7/20,12/30
70.4,CHA,C,Mark Williams,o29.5 PRA,27.1,"'-2.4",30.6,1.1,"'-115",2,26,4/19,11/32,0/2,3/5,4/10,10/20,11/30
69.4,CHA,C,Mark Williams,o27.5 PR,25.4,"'-2.1",28.6,1.1,"'-110",2,24,5/19,11/32,0/2,3/5,4/10,10/20,11/30
28.6,SA,SG,Julian Champagnie,o1.5 Ast,1.4,"'-0.1",0.8,"'-0.7","'+100",0,2,25/73,22/64,2/3,1/5,4/10,8/20,10/30
34,DEN,PG,Jamal Murray,o2.5 3PTM,2.7,0.2,1.6,"'-0.9","'+110",0,9,26/58,20/59,10/18,1/5,4/10,8/20,12/30
36.3,IND,C,Thomas Bryant,o12.5 PR,10.4,"'-2.1",10.6,"'-1.9","'-120",1,25,12/37,16/48,2/2,3/5,4/10,10/20,14/30
42.3,CLE,PG,Darius Garland,o7.5 Ast,6.8,"'-0.7",6.4,"'-1.1","'-127",1,27,20/57,20/61,3/4,2/5,4/10,6/20,10/30
37.4,CLE,SF,Isaac Okoro,o0.5 Blocks,0.4,"'-0.1",0,"'-0.5","'+132",0,26,27/68,13/39,2/5,0/5,4/10,7/20,11/30
33,MEM,C,Zach Edey,o1.5 Blocks,1.5,0,1.2,"'-0.3","'+194",0,10,0/0,17/51,0/1,1/5,4/10,8/20,10/30
68.3,SA,C,Bismack Biyombo,o5.5 Reb,6.5,1,6.6,1.1,"'-125",1,8,18/38,4/12,1/1,2/5,4/10,6/20,11/30
54.2,SA,C,Bismack Biyombo,o11.5 PR,13.2,1.7,13.6,2.1,"'-115",0,3,14/38,4/12,1/1,2/5,4/10,6/20,9/30
36.1,SA,SG,Stephon Castle,o1.5 3PTM,1.4,"'-0.1",1.2,"'-0.3","'-122",0,13,0/0,21/63,1/1,2/5,4/10,10/20,12/30
68.5,UTAH,SG,Johnny Juzang,o0.5 Steals,0.6,0.1,0.6,0.1,"'-120",0,29,3/19,16/48,1/1,2/5,4/10,8/20,11/30
38.8,IND,C,Myles Turner,o18.5 PA,19.2,0.7,16.6,"'-1.9","'-105",0,24,31/77,18/57,4/9,0/5,4/10,8/20,11/30
44.8,HOU,F,Tari Eason,o22.5 PRA,22.4,"'-0.1",23.2,0.7,"'-125",1,24,5/22,14/44,0/7,3/5,4/10,6/20,10/30
44.7,ORL,PG,Cole Anthony,o3.5 Ast,3.6,0.1,4,0.5,"'+114",0,17,27/80,19/60,2/4,2/5,4/10,8/20,13/30
40.4,ORL,PG,Cole Anthony,o15.5 PA,16.3,0.8,17.8,2.3,"'-115",0,7,33/80,19/60,2/4,2/5,4/10,8/20,15/30
45.3,SAC,PG,Devin Carter,o8.5 PR,7.1,"'-1.4",8.8,0.3,"'-115",0,2,0/0,7/22,0/0,3/5,4/10,6/20,7/22
45.3,SAC,PG,Devin Carter,o7.5 PA,6.1,"'-1.4",7.8,0.3,"'-120",0,2,0/0,7/22,0/0,3/5,4/10,6/20,7/22
47.7,PHI,SG,Quentin Grimes,o8.5 RA,8.3,"'-0.2",8.8,0.3,"'+105",0,23,1/51,19/62,1/5,2/5,4/10,10/20,12/30
45.8,LAC,SG,Kris Dunn,o0.5 Blocks,0.5,0,0.8,0.3,"'+200",0,3,20/65,18/59,1/2,3/5,4/10,8/20,12/30
39.9,ORL,SG,Kentavious Caldwell-Pope,o2.5 Reb,2.1,"'-0.4",2.6,0.1,"'-105",1,22,34/75,20/64,11/20,3/5,4/10,9/20,10/30
29.8,HOU,F,Tari Eason,o21.5 PR,20.3,"'-1.2",20.8,"'-0.7","'-103",1,24,4/22,13/44,0/7,3/5,4/10,6/20,9/30
30.8,IND,C,Thomas Bryant,o0.5 Steals,0.5,0,0.4,"'-0.1","'+145",1,18,8/37,14/48,1/2,2/5,4/10,7/20,9/30
36.6,CLE,PG,Ty Jerome,o21.5 PRA,20.8,"'-0.7",20,"'-1.5","'-137",0,19,0/2,17/60,1/3,1/5,4/10,8/20,10/30
42.8,BOS,SF,Jaylen Brown,o0.5 Blocks,0.5,0,0.8,0.3,"'+270",2,20,29/70,15/55,5/19,3/5,4/10,6/20,8/30
61,DEN,PG,Russell Westbrook,o1.5 3PTM,1.7,0.2,2,0.5,"'+136",0,9,12/68,16/59,4/7,2/5,4/10,7/20,9/30
45.3,SAC,PG,Devin Carter,o5.5 Pts,4.9,"'-0.6",6.6,1.1,"'-105",0,2,0/0,6/22,0/0,3/5,4/10,5/20,6/22
41.6,BOS,SG,Jrue Holiday,o1.5 Steals,1.2,"'-0.3",1.6,0.1,"'+150",2,16,16/69,13/50,4/17,3/5,4/10,5/20,9/30
41.5,LAC,PF,Kawhi Leonard,o9.5 RA,9.1,"'-0.4",9.4,"'-0.1","'-100",1,22,36/68,6/23,2/5,3/5,4/10,6/20,9/30
33.7,PHI,C,Andre Drummond,o20.5 PRA,18.8,"'-1.7",19.6,"'-0.9","'-110",0,27,26/79,10/40,4/11,2/5,4/10,6/20,6/30
64.4,LAC,PF,Nicolas Batum,o8.5 PR,8.9,0.4,12,3.5,"'-111",0,22,34/58,16/64,4/5,3/5,4/10,7/20,8/30
64.1,LAC,PG,James Harden,o3.5 3PTM,3.6,0.1,4.2,0.7,"'+116",0,22,19/72,16/63,1/3,3/5,4/10,7/20,11/30
